,Jname,mean_prob,mean_pred,closest_Jname,closest_dist
0,J0001-4155,,,J0010-4153,9.219544457292887
1,J0002-6726,,,J2356-6820,54.3323108288245
2,J0009-6357,,,J0103-6439,68.41052550594829
3,J0011-4105,,,J0031-4108,20.223748416156685
4,J0014-5022,,,J2347-5110,55.072679252057455
5,J0019-5641,,,J0058-5659,42.95346318982906
6,J0019-8152,,,J0102-8012,108.85311203635843
7,J0024-6820,,,J2356-6820,28.0
8,J0025-4803,,,J0004-4736,34.20526275297414
9,J0028-7045,,,J0252-7104,145.24806367039804
10,J0032-5522,,,J0156-5439,94.36630754670864
11,J0034-4116,,,J0031-4108,8.54400374531753
12,J0044-8422,,,J0102-8012,250.64716236175505
13,J0049-4457,,,J0050-4428,29.017236257093817
14,J0056-4451,,,J0050-4428,23.769728648009426
15,J0102-7546,,,J0202-7620,68.96375859826666
16,J0102-5637,,,J0058-5659,22.360679774997898
17,J0106-4831,,,J0004-4736,82.87943049997388
18,J0111-7302,,,J0252-7104,155.32224567009067
19,J0112-6634,,,J0103-6439,115.35163631262454
20,J0112-7506,,,J0202-7620,89.30845424706443
21,J0116-6153,,,J0101-6233,42.720018726587654
22,J0127-4813,,,J0004-4736,90.87353850269065
23,J0134+5337,,,J0132+5335,2.8284271247461903
24,J0143-5845,,,J0231-5841,48.16637831516918
25,J0150-5450,,,J0156-5439,12.529964086141668
26,J0154-5107,,,J0210-5101,17.08800749063506
27,J0154-6604,,,J0103-6439,99.12618221237011
28,J0157-4614,,,J0246-4651,61.40032573203501
29,J0158-3932,,,J0156-3935,3.605551275463989
30,J0201-6638,,,J0355-6645,114.21471008587291
31,J0207-6837,,,J2356-6820,132.09844813622905
32,J0214-7027,,,J0252-7104,53.03772242470448
33,J0214-6149,,,J0236-6136,25.553864678361276
34,J0216-6636,,,J0355-6645,99.40824915468535
35,J0225-4503,,,J0245-4459,20.396078054371138
36,J0226-4441,,,J0212-4436,14.866068747318506
37,J0229-5232,,,J0303-5234,34.058772731852805
38,J0231-4746,,,J0246-4651,57.0087712549569
39,J0238-3905,,,J0227-3913,13.601470508735444
40,J0251-8226,,,J0450-8101,146.23952953972466
41,J0253-5441,,,J0335-5430,43.41658669218482
42,J0253-7513,,,J0202-7620,84.20213774008353
43,J0301-7156,,,J0252-7104,52.773099207835045
44,J0303-7914,,,J0229-7847,43.41658669218482
45,J0303-6211,,,J0236-6136,44.204072210600685
46,J0310-5016,,,J0258-5052,37.94733192202055
47,J0314-6548,,,J0355-6645,70.21395872616783
48,J0316-6437,,,J0103-6439,133.01503674397117
49,J0325-5635,,,J0312-5541,55.54277630799526
50,J0336-0347,,,J0350-0351,14.560219778561036
51,J0347-3616,,,J0336-3616,11.0
52,J0349-4858,,,J0335-4837,25.238858928247925
53,J0357-4955,,,J0335-4837,81.04319835741924
54,J0357-4625,,,J0412-4604,25.80697580112788
55,J0357-6948,,,J0252-7104,100.00499987500625
56,J0413-5332,,,J0335-5430,69.33974329343886
57,J0415-4737,,,J0357-4812,39.35733730830886
58,J0425-5331,,,J0335-5430,77.33692520394123
59,J0428-5005,,,J0314-5104,94.64142856064674
60,J0429-4328,,,J0440-4333,12.083045973594572
61,J0433-6030,,,J0506-6109,51.088159097779204
62,J0437-7148,,,J0516-7237,62.625873247404705
63,J0436-5840,,,J0231-5841,125.00399993600205
64,J0449-4350,,,J0440-4333,19.235384061671343
65,J0454+3724,,,J0435+3711,23.021728866442675
66,J0456-4041,,,J0522-4020,33.421549934136806
67,J0506-5435,,,J0335-5430,91.13725912051558
68,J0507-6104,,,J0506-6109,5.0990195135927845
69,J0509-6417,,,J0700-6610,158.39823231336896
70,J0511-6806,,,J0515-6721,45.17742799230607
71,J0516-6207,,,J0506-6109,58.855755878248644
72,J0518-6935,,,J0601-7036,74.63243262818116
73,J0524-5658,,,J0743-5619,144.3675863897433
74,J0525-6013,,,J0522-6107,54.08326913195984
75,J0531-4827,,,J0526-4830,5.830951894845301
76,J0533-8324,,,J0450-8101,149.3251485852266
77,J0533-7216,,,J0516-7237,27.018512172212592
78,J0537-5718,,,J0743-5619,139.12943613772032
79,J0540-5418,,,J0540-5303,75.0
80,J0541-7332,,,J0529-7245,48.507731342539614
81,J0550-5732,,,J0743-5619,134.52880732393342
82,J0558-7459,,,J0635-7516,40.718546143004666
83,J0604-4817,,,J0526-4830,40.162171256046406
84,J0606-4729,,,J0648-4734,42.2965719651132
85,J0607-6031,,,J0522-6107,57.62811813689564
86,J0608-5456,,,J0657-5406,70.00714249274856
87,J0621-4649,,,J0701-4634,42.720018726587654
88,J0623-6436,,,J0700-6610,101.01980003939822
89,J0625-5438,,,J0657-5406,45.254833995939045
90,J0628-6712,,,J0700-6610,69.77105417004964
91,J0628-6248,,,J0716-6240,48.662100242385755
92,J0644-6712,,,J0738-6735,58.69412236331676
93,J0647-6058,,,J0806-6101,79.05694150420949
94,J0658-5840,,,J0849-5905,113.78049041905207
95,J0705-4847,,,J0712-4818,29.832867780352597
96,J0718-4319,,,J0642-4331,37.94733192202055
97,J0726-4728,,,J0746-4754,32.802438933713454
98,J0730-6602,,,J0700-6610,31.04834939252005
99,J0732-4640,,,J0701-4634,31.575306807693888
100,J0734-7711,,,J0811-7530,107.56393447619885
101,J0737-8248,,,J0921-8209,111.07204868912791
102,J0741-4709,,,J0746-4754,45.27692569068709
103,J0744-6919,,,J0715-6829,57.8013840664737
104,J0756-6430,,,J0845-6527,75.16648189186454
105,J0809-4916,,,J0811-4929,13.152946437965905
106,J0821-5800,,,J0852-5755,31.400636936215164
107,J0823-4838,,,J0829-4902,24.73863375370596
108,J0826-6404,,,J0845-6527,85.14693182963201
109,J0903-4805,,,J0908-4736,29.427877939124322
110,J0904-5735,,,J0852-5755,23.323807579381203
111,J0930-8533,,,J1026-8543,56.88585061331157
112,J0938-6402,,,J1041-6431,69.35416353759881
113,J0952-5049,,,J0954-5113,24.08318915758459
114,J0958-6752,,,J1023-6646,70.57619995437555
115,J1006+345A,,,,inf
116,J1008-3139,,,J1000-3139,8.0
117,J1028-6441,,,J1041-6431,16.401219466856727
118,J1030-8403,,,J1152-8344,84.17244204607586
119,J1033-5035,,,J1006-5018,31.906112267087632
120,J1047-5513,,,J1053-5546,33.54101966249684
121,J1047-6217,,,J1107-6148,35.22782990761707
122,J1048-4639,,,J1118-4634,30.4138126514911
123,J1050-5249,,,J1038-5311,25.059928172283335
124,J1051-6518,,,J1127-6505,38.27531841800928
125,J1101-6056,,,J1107-6148,52.3450093132096
126,J1103-5626,,,J1029-5622,34.23448553724738
127,J1103-5357,,,J1055-5413,17.88854381999832
128,J1106-3646,,,J1106-3637,9.0
